src,dst,messages_sent,messages_received,messages_total,contribution_index
aloof_03,aloof_03,3,3,6,0.0
anarcodan,anarcodan,1,1,2,0.0
asadsab30213871,asadsab30213871,1,1,2,0.0
basedwalrusnft,orcadiva80,0,1,1,-1.0
berdengpagiisep,berdengpagiisep,1,1,2,0.0
bookkampanart,bookkampanart,1,1,2,0.0
bzh5vf77g,bzh5vf77g,1,1,2,0.0
cacaaaacntik,cacaaaacntik,1,1,2,0.0
cryptomarine1,cryptomarine1,1,1,2,0.0
d_plus__plus,d_plus__plus,1,1,2,0.0
dasminto_eth,alfobijoe,0,3,3,-1.0
egedk4,egedk4,2,2,4,0.0
elzarengo,elzarengo,1,1,2,0.0
erman__erdogan,erman__erdogan,1,1,2,0.0
etellesr,etellesr,1,1,2,0.0
faust_007,faust_007,1,1,2,0.0
fernandoulpoor,buscador8091,0,1,1,-1.0
filiz4866,filiz4866,1,1,2,0.0
firstgentlema19,firstgentlema19,9,9,18,0.0
frhad56329562,frhad56329562,1,1,2,0.0
gallasezer,gallasezer,1,1,2,0.0
ichsann240,ichsann240,1,1,2,0.0
jieke122,jieke122,1,1,2,0.0
jjaannnnnnn,jjaannnnnnn,1,1,2,0.0
jstnnrntlo,jstnnrntlo,1,1,2,0.0
k2cdr,k2cdr,1,1,2,0.0
kaeldesuyo,kaeldesuyo,1,1,2,0.0
kakerumiko,kakerumiko,1,1,2,0.0
kbehzadnia,kbehzadnia,1,1,2,0.0
kfrihet,kfrihet,1,1,2,0.0
kuinginmenang,kuinginmenang,1,1,2,0.0
littlehypen0210,littlehypen0210,1,1,2,0.0
mak30811,mak30811,1,1,2,0.0
mariatereza2212,mariatereza2212,2,2,4,0.0
mdfarhansami1,mdfarhansami1,1,1,2,0.0
mhy_mmmm,mhy_mmmm,2,2,4,0.0
mydogphoebetv,mydogphoebetv,1,1,2,0.0
ox_hama,ox_hama,1,1,2,0.0
pom_pom_i,pom_pom_i,1,1,2,0.0
rgt1kjn1mk5rsvq,rgt1kjn1mk5rsvq,2,2,4,0.0
roninalif,roninalif,1,1,2,0.0
saadat873,saadat873,7,7,14,0.0
sanjays23235425,sanjays23235425,1,1,2,0.0
schoolsstillout,schoolsstillout,3,3,6,0.0
shillxofficial,shillxofficial,1,1,2,0.0
sinemar01004022,sinemar01004022,1,1,2,0.0
skucakta,skucakta,1,1,2,0.0
snarkyalien,snarkyalien,2,2,4,0.0
sniper_rica,sniper_rica,1,1,2,0.0
spacejak1065,spacejak1065,1,1,2,0.0
stephen62065123,stephen62065123,1,1,2,0.0
steveeirich,steveeirich,1,1,2,0.0
sukiasyanartyom,sukiasyanartyom,1,1,2,0.0
theromanhodler,marowizdom,1,0,1,1.0
thetruelukino,thetruelukino,1,1,2,0.0
toyoshima22,toyoshima22,1,1,2,0.0
4ktrey0,4ktrey0,1,1,2,0.0
aehp0hri1dm5upz,aehp0hri1dm5upz,2,2,4,0.0
ahmadisroulmub1,ahmadisroulmub1,1,1,2,0.0
alejand29887387,alejand29887387,1,1,2,0.0
alfobijoe,eatingthedip,0,1,1,-1.0
ali05041539,ali05041539,1,1,2,0.0
atomixboom,atomixboom,1,1,2,0.0
barezjebal,barezjebal,1,1,2,0.0
btc_onemillion,henchinima,0,1,1,-1.0
btchunter14,btchunter14,1,1,2,0.0
c0rnh0li0,superrarerares,0,1,1,-1.0
crypchartsonly,crypchartsonly,1,1,2,0.0
cryptoash_eth,punk3178,1,0,1,1.0
cryptoken97,doritos_kent,1,0,1,1.0
delacorte_,delacorte_,1,1,2,0.0
elgopu,elgopu,1,1,2,0.0
eriexoxool,eriexoxool,1,1,2,0.0
flyyfn2,fetra_btc,0,1,1,-1.0
georgehellborn2,georgehellborn2,1,1,2,0.0
harry23471298,harry23471298,1,1,2,0.0
hisiedagumi006,hisiedagumi006,1,1,2,0.0
hoanganhquocgdh,hoanganhquocgdh,1,1,2,0.0
holocub,holocub,25,25,50,0.0
ishib_official,spaceballseth,1,0,1,1.0
jocosekoko,jocosekoko,1,1,2,0.0
kenngraphics,kenngraphics,1,1,2,0.0
kh_luck,kh_luck,2,2,4,0.0
kriptunx20,kriptunx20,1,1,2,0.0
lesterpaints,vanlinh50558353,0,1,1,-1.0
lilionthe,lilionthe,1,1,2,0.0
meschainmes,meschainmes,1,1,2,0.0
michaeljhaigh1,michaeljhaigh1,1,1,2,0.0
murcianicobolsa,elenfermeroinv1,1,0,1,1.0
ninidesemberwin,ninidesemberwin,1,1,2,0.0
onzannann,onzannann,1,1,2,0.0
ozguraay,ozguraay,1,1,2,0.0
paephukao,paephukao,1,1,2,0.0
pagaduanrich,pagaduanrich,1,1,2,0.0
philib695365541,philib695365541,1,1,2,0.0
pythonwealth,pythonwealth,1,1,2,0.0
rabia_sancak1,rabia_sancak1,1,1,2,0.0
realsharkcove,nftgurl5,0,1,1,-1.0
rizal784727461,rizal784727461,2,2,4,0.0
rt4catfish,rt4catfish,1,1,2,0.0
sakinn56,sakinn56,1,1,2,0.0
sakrah_4,sakrah_4,1,1,2,0.0
satoshidisco,lkcashin,0,1,1,-1.0
selfmule,selfmule,2,2,4,0.0
semihh_turkenn,semihh_turkenn,1,1,2,0.0
smldmn3,smldmn3,3,3,6,0.0
sokkrates2,sokkrates2,1,1,2,0.0
tirororororo,tirororororo,2,2,4,0.0
tunckocman,tunckocman,1,1,2,0.0
ukurv,ukurv,2,2,4,0.0
winged_11,winged_11,2,2,4,0.0
xavier84661529,xavier84661529,1,1,2,0.0
xcelciork,xcelciork,1,1,2,0.0
yambili,yambili,1,1,2,0.0
youandyourfrd,youandyourfrd,1,1,2,0.0
yukayukiwin,yukayukiwin,1,1,2,0.0
0dogeman0,0dogeman0,2,2,4,0.0
1011ap4,money_ba11,1,0,1,1.0
abdullahzlmez10,abdullahzlmez10,1,1,2,0.0
alexdbarlow,alexdbarlow,1,1,2,0.0
amarbar70598371,amarbar70598371,1,1,2,0.0
binance_chainn,tedikusx,0,1,1,-1.0
