dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
sricknroll,sricknroll,30,329,Sun Nov 28 21:41:58 +0000 2021,5119,BTC,sricknroll,sricknroll,,Happy Cat,1638135718,928475968427106304,RT @JasonPLowery: Ppl are waking up to the idea that BTC is better store of value than $109T of equities &amp; $123T of debt securities. In 2.5…,0,,Happy Cat,1911,['1638057600-1638144000']
takecyan01,takecyan01,434,474,Mon Dec 20 08:40:28 +0000 2021,24647,BTC,takecyan01,takecyan01,,鹿原 毅 @仮想通貨💎,1639989628,782133222087938049,RT @crypt_zon: ZON 10万円分企画プレゼント🎁レンディング爆益につきプレゼント！🐘プレゼント内容BTC、ETH、IOST、10万円分当選したら選択可能！🐘応募条件・@crypt_zon のフォロー・このツイートのRTクリスマスと年末年始…,8,,鹿原 毅 @仮想通貨💎,28883,['1639958400-1640044800']
uniquemeah,uniquemeah,275,859,Sun Oct 31 11:48:49 +0000 2021,1714,BTC,Uniquemeah,Uniquemeah,,Iphie,1635680929,799171430269255681,It’s the weekend 🚀🚀🤑Do you know you can use these tokens as collateral on @Demetervip amongst others?$BTC$HT… https://t.co/rzCe6kVWxB,2,,Iphie,1647,['1635638400-1635724800']
yavuzselimkan,yavuzselimkan,3,106,Sun Dec 05 13:21:23 +0000 2021,163,BTC,yavuzselimkan,yavuzselimkan,,Yavuz Selim Kan,1638710483,1210192214279761924,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,Yavuz Selim Kan,66,['1638662400-1638748800']
6mmmad,6mmmad,1,56,Sun Nov 07 18:41:52 +0000 2021,1,BTC,6mmmad,6mmmad,,المديني🕯,1636310512,1446171988108664837,"RT @chitaglorya__: giveaway 2000$ | 28,000,000 IDR suzuki gsx s 150 for one winner 🏍️-- retweet ,follow me &amp; @BTC_NFT @CryptoZillaVC…",0,,المديني🕯,363,['1636243200-1636329600']
7thanima,7thanima,24,120,Sun Dec 12 07:09:15 +0000 2021,192,BTC,7thanima,7thanima,"btc, Bitcoin, Crypto",7th Anima,1639292955,757075270205526017,RT @No1Hodler: The market is so effing oversold it’s unbullievable. I can’t bear to see it! #btc #Bitcoin #Crypto https://t.co/KNR8fZUWr2,0,,7th Anima,174,['1639267200-1639353600']
a_jc_,a_jc_,1371,299,Sun Dec 26 10:48:28 +0000 2021,2738,BTC,A_jc_,A_jc_,,⚡️ᗩ_ᒍᑕ_🔥🌔,1640515708,1975119661,"RT @undead_gold: @Zopack1 This is our role. Some guys love it, some guys are crying like little softies who can't take a slap on the Intern…",8,,⚡️ᗩ_ᒍᑕ_🔥🌔,2415,['1640476800-1640563200']
adam86138343,adam86138343,9,138,Sun Nov 07 19:34:29 +0000 2021,1634,BTC,Adam86138343,Adam86138343,,Adam,1636313669,1308868660052856832,"RT @Tomaiv1: I have alpha for you, Do you want a minimum of 10x from the current  price fundamental gem?  $skey has a lot to show in this b…",2,,Adam,451,['1636243200-1636329600']
akr82521,akr82521,150,220,Sun Oct 31 12:45:26 +0000 2021,1143,BTC,akr82521,akr82521,,エイケイアール・ココ,1635684326,222066794,RT @papayapaya_FX: 5日連続プレゼント企画−仮想通貨編−今回の5日間は仮想通貨のプレゼント🎁です【1日目】5万円分の仮想通貨をプレゼントビットコイン（ $BTC ）イーサリアム（ $ETH ）お好きな方を選んで頂けます！参加条件：フォロ…,7,,エイケイアール・ココ,626,['1635638400-1635724800']
annpendo7,annpendo7,19,95,Sun Dec 12 07:01:15 +0000 2021,981,BTC,AnnPendo7,AnnPendo7,,Ann Pendo,1639292475,1460725561685266438,"RT @BlindMummyApes: 💎 GIVEAWAY 💎✔ Follow &amp; RT✔ Join our Discordhttps://t.co/pCnI6nyL7f5 winners, total of 0.5 $BMA.Make sure you hav…",0,,Ann Pendo,238,['1639267200-1639353600']
asadsab30213871,asadsab30213871,17,151,Sun Nov 07 18:40:11 +0000 2021,711,BTC,AsadSab30213871,AsadSab30213871,,Asad Sabir,1636310411,1439988488053592071,"RT @freebitco: Win a Lambo Round 6 - 100,000 Golden Tickets Already DistributedFive FreeBitcoin users have already won a Lambo against al…",0,,Asad Sabir,226,['1636243200-1636329600']
bigstreetcrypto,bigstreetcrypto,24,52,Sun Dec 05 13:11:41 +0000 2021,429,DOGE,BigStreetCrypto,BigStreetCrypto,"shiba, doge",BigStreetCyrpto,1638709901,1452756832120938499,RT @FlippiM: @JoeParys we know you like #shiba anf #doge but what about the killer of the both ? I talk about FLUFFY 🐕🐕🐕The real deal!…,0,,BigStreetCyrpto,308,['1638662400-1638748800']
bkts0212,bkts0212,28,420,Sun Nov 28 21:12:36 +0000 2021,4983,BTC,bkts0212,bkts0212,USDT,💛💙SarıLacivertŞampiyonFener,1638133956,1135751354012577792,RT @Kripto_Joker: Kripto Camiasının En Büyük Hediyesini Veriyoruz.                                        2000$💵(#USDT) Dağıtıyoruz.👇Ta…,0,,💛💙SarıLacivertŞampiyonFener,1797,['1638057600-1638144000']
blanda_joyce,blanda_joyce,0,0,Sun Nov 07 18:58:26 +0000 2021,0,BTC,blanda_joyce,blanda_joyce,btc,Joyce Blanda,1636311506,1456006073257795590,RT @xGemWolf: #btc almost ready to pump 🔥,0,,Joyce Blanda,79,['1636243200-1636329600']
