Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2021-05-27,2021-05-27,9.000000318337698e-06,679602960,0,0,-2,-2,-1.0,SHIB
2021-05-28,2021-05-28,7.999999979801942e-06,690703669,0,0,-2,-2,-1.0,SHIB
2021-05-29,2021-05-29,7.999999979801942e-06,502184994,0,0,0,-2,-0.6,SHIB
2021-05-30,2021-05-30,7.999999979801942e-06,440967883,0,0,0,-2,-0.6,SHIB
2021-05-31,2021-05-31,9.000000318337698e-06,910298126,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-01,2021-06-01,9.000000318337698e-06,795576484,0,0,0,-2,-0.6,SHIB
2021-06-02,2021-06-02,9.000000318337698e-06,1190841704,0,0,0,-2,-0.6,SHIB
2021-06-03,2021-06-03,9.999999747378752e-06,841784028,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-04,2021-06-04,9.000000318337698e-06,819027578,0,0,-2,-2,-1.0,SHIB
2021-06-05,2021-06-05,7.999999979801942e-06,507707187,0,0,-2,-2,-1.0,SHIB
2021-06-06,2021-06-06,9.000000318337698e-06,359457882,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-07,2021-06-07,7.999999979801942e-06,469707680,0,0,-2,-2,-1.0,SHIB
2021-06-08,2021-06-08,7.000000096013537e-06,794735555,0,0,-2,-2,-1.0,SHIB
2021-06-09,2021-06-09,7.000000096013537e-06,546752922,0,0,0,-2,-0.6,SHIB
2021-06-10,2021-06-10,7.000000096013537e-06,420178357,0,0,0,-2,-0.6,SHIB
2021-06-11,2021-06-11,6.000000212225132e-06,402206125,0,2,-2,-2,-0.4,SHIB
2021-06-12,2021-06-12,6.000000212225132e-06,602206703,0,0,0,-2,-0.6,SHIB
2021-06-13,2021-06-13,7.000000096013537e-06,479855598,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-14,2021-06-14,7.000000096013537e-06,484227038,0,0,0,-2,-0.6,SHIB
2021-06-15,2021-06-15,7.000000096013537e-06,464565251,0,0,0,-2,-0.6,SHIB
2021-06-16,2021-06-16,7.999999979801942e-06,1147441100,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-17,2021-06-17,7.999999979801942e-06,645884625,0,0,0,-2,-0.6,SHIB
2021-06-18,2021-06-18,7.000000096013537e-06,560685269,0,0,-2,-2,-1.0,SHIB
2021-06-19,2021-06-19,7.999999979801942e-06,800211655,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-20,2021-06-20,7.999999979801942e-06,644943959,0,0,0,-2,-0.6,SHIB
2021-06-21,2021-06-21,6.000000212225132e-06,719083156,0,0,-2,-2,-1.0,SHIB
2021-06-22,2021-06-22,6.000000212225132e-06,798815195,0,0,0,-2,-0.6,SHIB
2021-06-23,2021-06-23,7.000000096013537e-06,538227669,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-24,2021-06-24,7.000000096013537e-06,374340895,0,0,0,-2,-0.6,SHIB
2021-06-25,2021-06-25,7.000000096013537e-06,809551822,0,0,0,-2,-0.6,SHIB
2021-06-26,2021-06-26,7.000000096013537e-06,506208122,0,0,0,-2,-0.6,SHIB
2021-06-27,2021-06-27,7.999999979801942e-06,368723897,0,0,2,-2,-0.19999999999999996,SHIB
2021-06-28,2021-06-28,7.999999979801942e-06,511642751,0,0,0,-2,-0.6,SHIB
2021-06-29,2021-06-29,9.000000318337698e-06,1049937292,0,-2,2,-2,-0.7999999999999999,SHIB
2021-06-30,2021-06-30,9.000000318337698e-06,774601888,0,0,0,-2,-0.6,SHIB
2021-07-01,2021-07-01,7.999999979801942e-06,472303878,0,0,-2,-2,-1.0,SHIB
2021-07-02,2021-07-02,7.999999979801942e-06,350380456,0,0,0,-2,-0.6,SHIB
2021-07-03,2021-07-03,9.000000318337698e-06,387155665,0,0,2,-2,-0.19999999999999996,SHIB
2021-07-04,2021-07-04,9.000000318337698e-06,382389431,0,0,0,-2,-0.6,SHIB
2021-07-05,2021-07-05,7.999999979801942e-06,414501521,0,0,-2,-2,-1.0,SHIB
2021-07-06,2021-07-06,9.000000318337698e-06,695333646,0,0,2,-2,-0.19999999999999996,SHIB
2021-07-07,2021-07-07,9.000000318337698e-06,400230047,0,0,0,-2,-0.6,SHIB
2021-07-08,2021-07-08,7.999999979801942e-06,461821077,0,0,-2,-2,-1.0,SHIB
2021-07-09,2021-07-09,7.999999979801942e-06,329969149,0,0,0,-2,-0.6,SHIB
2021-07-10,2021-07-10,7.999999979801942e-06,307713037,0,0,0,-2,-0.6,SHIB
2021-07-11,2021-07-11,7.999999979801942e-06,298920323,0,0,0,-2,-0.6,SHIB
2021-07-12,2021-07-12,7.999999979801942e-06,368432617,0,0,0,2,0.6,SHIB
2021-07-13,2021-07-13,7.000000096013537e-06,314206348,0,0,-2,2,0.19999999999999996,SHIB
2021-07-14,2021-07-14,7.000000096013537e-06,395606690,0,0,0,2,0.6,SHIB
2021-07-15,2021-07-15,7.000000096013537e-06,324530088,0,0,0,2,0.6,SHIB
2021-07-16,2021-07-16,7.000000096013537e-06,271727428,0,0,0,2,0.6,SHIB
2021-07-17,2021-07-17,7.000000096013537e-06,268313051,0,0,0,2,0.6,SHIB
