Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2019-10-26,2019-10-26,0.002621999941766262,118574429,0,0,-2,2,0.19999999999999996,DOGE
2019-10-27,2019-10-27,0.0026539999525994062,99551356,0,0,2,2,1.0,DOGE
2019-10-28,2019-10-28,0.0026459998916834593,92231650,0,0,-2,2,0.19999999999999996,DOGE
2019-10-29,2019-10-29,0.0026549999602138996,84394749,0,0,2,2,1.0,DOGE
2019-10-30,2019-10-30,0.002615999896079302,88132224,0,0,-2,2,0.19999999999999996,DOGE
2019-10-31,2019-10-31,0.0026149998884648085,72101942,0,0,-2,2,0.19999999999999996,DOGE
2019-11-01,2019-11-01,0.002630000002682209,78282711,0,0,2,2,1.0,DOGE
2019-11-02,2019-11-02,0.002626999979838729,63232423,0,0,-2,2,0.19999999999999996,DOGE
2019-11-03,2019-11-03,0.0026370000559836626,57894711,0,0,2,2,1.0,DOGE
2019-11-04,2019-11-04,0.0026140001136809587,64040500,0,0,-2,2,0.19999999999999996,DOGE
2019-11-05,2019-11-05,0.002623999956995249,78458702,0,0,2,2,1.0,DOGE
2019-11-06,2019-11-06,0.0026279999874532223,88212203,0,0,2,2,1.0,DOGE
2019-11-07,2019-11-07,0.002725000027567148,97141368,0,0,2,2,1.0,DOGE
2019-11-08,2019-11-08,0.002652999944984913,88039087,0,0,-2,2,0.19999999999999996,DOGE
2019-11-09,2019-11-09,0.0027129999361932278,93120071,0,0,2,2,1.0,DOGE
2019-11-10,2019-11-10,0.0027749999426305294,96734959,0,-2,2,2,0.4,DOGE
2019-11-11,2019-11-11,0.0027149999514222145,84608148,0,0,-2,2,0.19999999999999996,DOGE
2019-11-12,2019-11-12,0.002725000027567148,72506822,0,0,2,2,1.0,DOGE
2019-11-13,2019-11-13,0.002698000054806471,80974477,0,0,-2,2,0.19999999999999996,DOGE
2019-11-14,2019-11-14,0.00267999991774559,77359949,0,0,-2,2,0.19999999999999996,DOGE
2019-11-15,2019-11-15,0.0026569999754428864,78888251,0,0,-2,2,0.19999999999999996,DOGE
2019-11-16,2019-11-16,0.002669000066816807,71531457,0,0,2,2,1.0,DOGE
2019-11-17,2019-11-17,0.002647999906912446,74498787,0,0,-2,2,0.19999999999999996,DOGE
2019-11-18,2019-11-18,0.0025760000571608543,72521449,0,0,-2,2,0.19999999999999996,DOGE
2019-11-19,2019-11-19,0.0025480000767856836,85557575,0,0,-2,2,0.19999999999999996,DOGE
2019-11-20,2019-11-20,0.002555999904870987,77286260,0,0,2,2,1.0,DOGE
2019-11-21,2019-11-21,0.002426000079140067,95999426,0,2,-2,2,0.7999999999999999,DOGE
2019-11-22,2019-11-22,0.0023620000574737787,109619351,0,2,-2,2,0.7999999999999999,DOGE
2019-11-23,2019-11-23,0.0025049999821931124,112247814,0,0,2,2,1.0,DOGE
2019-11-24,2019-11-24,0.002365000080317259,101469803,0,2,-2,2,0.7999999999999999,DOGE
2019-11-25,2019-11-25,0.00228599994443357,129591062,0,2,-2,2,0.7999999999999999,DOGE
2019-11-26,2019-11-26,0.0022909999825060368,100273990,0,0,2,-2,-0.19999999999999996,DOGE
