id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
ruyaankara0606,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,ANKARA💋RÜYA,0,1,0,1,1,1,-1.0,cluster_4,,,,2021-12-20 00:00:00,2021-12-21 00:00:00
bitcoinski,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,0,0,0,0,0,bitcoinski,0,1,0,1,1,1,-1.0,cluster_4,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
rewkang,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,SOL,0,0,0,0,0,Andrew Kang,0,3,0,3,3,3,-1.0,cluster_4,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
tatawinaz,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,27,0,22,60,2,Franck Negron,1,1,4,2,6,2,0.0,cluster_4,0.5839555859565735,0.16791120171546936,5.131820201873779,2021-12-20 00:00:00,2021-12-21 00:00:00
callmebrian69,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,11186,1,10386,434,86,Brian,1,1,3,2,5,2,0.0,cluster_4,0.03316958248615265,0.34056228399276733,7.885203838348389,2021-12-05 00:00:00,2021-12-06 00:00:00
notruelogician,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,348,0,680,144,16,All Things End,1,1,3,2,5,2,0.0,cluster_4,,,,2021-12-12 00:00:00,2021-12-13 00:00:00
sukesan_1996,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,436,0,30,28,10,すけ@TTT,1,1,3,2,5,2,0.0,cluster_4,,,,2021-10-31 00:00:00,2021-11-01 00:00:00
imimgf,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1757,0,1454,1097,120,Imi Mgf,1,1,3,2,5,2,0.0,cluster_4,0.3335876166820526,0.2764809727668762,10.78995418548584,2021-12-20 00:00:00,2021-12-21 00:00:00
granblue_neko,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1340,1,1062,13,40,ねこぶる,1,1,3,2,5,2,0.0,cluster_4,,,,2021-12-12 00:00:00,2021-12-13 00:00:00
excessflame,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,5884,2,13853,520,311,𝕾𝖈𝖆𝖗𝖋𝖆𝖈𝖊 🔥 𝕀𝕆𝕋𝔸,1,1,8,2,10,2,0.0,cluster_4,0.7548774480819702,0.3146899938583374,5.111199855804443,2021-12-26 00:00:00,2021-12-27 00:00:00
zaka68001,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2428,2,897,442,10,Z,1,1,3,2,5,2,0.0,cluster_4,0.24973493814468384,0.210855171084404,7.619973659515381,2021-12-26 00:00:00,2021-12-27 00:00:00
tohexey,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,3099,5,55272,1631,1394,CFCTeey,1,1,3,2,5,2,0.0,cluster_4,0.5003018975257874,0.2720765769481659,4.455451011657715,2021-10-31 00:00:00,2021-11-01 00:00:00
thauznn,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1739,0,2191,48,8,Junioridealist,3,3,4,2,6,6,0.0,cluster_4,0.591693381468455,0.2706832041343053,10.03069273630778,2021-12-12 00:00:00,2021-12-13 00:00:00
