dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
majin__blue,majin__blue,1,1,2,0.0,0.7741595506668091,0.23726136982440948,5.1173248291015625,2021-12-21 00:00:00,2021-12-22 00:00:00
neiijacobs,neiijacobs,1,1,2,0.0,0.30388861894607544,0.2630235254764557,5.584192276000977,2021-12-21 00:00:00,2021-12-22 00:00:00
phantomofneo,phantomofneo,1,1,2,0.0,0.8282660841941833,0.6565322279930115,8.702920913696289,2021-12-21 00:00:00,2021-12-22 00:00:00
semneoculte,semneoculte,1,1,2,0.0,0.26654842495918274,0.21607349812984467,4.824012756347656,2021-12-21 00:00:00,2021-12-22 00:00:00
iicmigqfolklore,adorewalls_91,1,0,1,1.0,0.026631884276866913,0.2133816033601761,8.156379699707031,2021-12-21 00:00:00,2021-12-22 00:00:00
bocilbedugal,bocilbedugal,7,7,14,0.0,0.7873641507966178,0.19252657677446092,6.6920221873692105,2021-12-21 00:00:00,2021-12-22 00:00:00
bodyfirst_pt,bodyfirst_pt,1,1,2,0.0,0.6736059188842773,0.18197740614414215,3.473963975906372,2021-12-21 00:00:00,2021-12-22 00:00:00
gilsonfortunat2,gilsonfortunat2,1,1,2,0.0,0.976616382598877,0.3454856872558594,4.774590969085693,2021-12-21 00:00:00,2021-12-22 00:00:00
gokmenozel,gokmenozel,1,1,2,0.0,0.9649540781974792,0.37408074736595154,6.89819860458374,2021-12-21 00:00:00,2021-12-22 00:00:00
missouricitytx,missouricityem,0,1,1,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
rinafrmc4,rinafrmc4,1,1,2,0.0,0.18089479207992554,0.34425458312034607,5.761387825012207,2021-12-21 00:00:00,2021-12-22 00:00:00
vouwrld,vouwrld,1,1,2,0.0,0.8029806017875671,0.16235172748565674,6.138063430786133,2021-12-21 00:00:00,2021-12-22 00:00:00
bemylast69,bemylast69,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
caltguy,caltguy,1,1,2,0.0,0.49708235263824463,0.06392019242048264,5.165485858917236,2021-12-21 00:00:00,2021-12-22 00:00:00
chrashidali7866,chrashidali7866,2,2,4,0.0,0.36146071553230286,0.1782837063074112,7.054784774780273,2021-12-21 00:00:00,2021-12-22 00:00:00
fvck_link,fvck_link,1,1,2,0.0,0.14521658420562744,0.34167706966400146,9.604008674621582,2021-12-21 00:00:00,2021-12-22 00:00:00
jbinstl,jbinstl,1,1,2,0.0,0.037769582122564316,0.32475608587265015,5.795016288757324,2021-12-21 00:00:00,2021-12-22 00:00:00
jkbanys,jkbanys,1,1,2,0.0,0.38532692193984985,0.4099036157131195,9.635481834411621,2021-12-21 00:00:00,2021-12-22 00:00:00
kevingerald678,kevingerald678,2,2,4,0.0,0.8093794882297516,0.16313516348600388,6.039305925369263,2021-12-21 00:00:00,2021-12-22 00:00:00
kmurray123,kmurray123,1,1,2,0.0,0.9593027234077454,0.21957577764987946,5.526101112365723,2021-12-21 00:00:00,2021-12-22 00:00:00
songmojiri,songmojiri,1,1,2,0.0,0.7164748907089233,0.14684359729290009,5.506498336791992,2021-12-21 00:00:00,2021-12-22 00:00:00
titinpuipui_361,titinpuipui_361,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
87zi7vdzfgj1zst,87zi7vdzfgj1zst,2,2,4,0.0,0.6783443093299866,0.19864380359649658,6.608804225921631,2021-12-21 00:00:00,2021-12-22 00:00:00
airu_jamputi,airu_jamputi,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
ali_pkada,ali_pkada,5,5,10,0.0,0.41257266104221346,0.24936087429523468,5.217837619781494,2021-12-21 00:00:00,2021-12-22 00:00:00
allthetimesurf,allthetimesurf,2,2,4,0.0,0.506946936249733,0.2430402934551239,6.741454482078552,2021-12-21 00:00:00,2021-12-22 00:00:00
keyred11,keyred11,1,1,2,0.0,0.20700377225875854,0.21639296412467957,8.887923240661621,2021-12-21 00:00:00,2021-12-22 00:00:00
maroofi_javad,maroofi_javad,1,1,2,0.0,0.4171028435230255,0.15551570057868958,4.263843059539795,2021-12-21 00:00:00,2021-12-22 00:00:00
mrssluttyr,mrssluttyr,4,4,8,0.0,0.8513502925634384,0.20863572135567665,5.80161440372467,2021-12-21 00:00:00,2021-12-22 00:00:00
nuka_kiran,nuka_kiran,1,1,2,0.0,0.026017017662525177,0.400035560131073,8.569849014282227,2021-12-21 00:00:00,2021-12-22 00:00:00
pauarmyxbts7,pauarmyxbts7,1,1,2,0.0,0.6765236258506775,0.10410339385271072,10.135053634643555,2021-12-21 00:00:00,2021-12-22 00:00:00
zipsquad2,zipsquad2,1,1,2,0.0,0.7165756821632385,0.22781601548194885,9.58104133605957,2021-12-21 00:00:00,2021-12-22 00:00:00
4gyui,4gyui,1,1,2,0.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
iaminult,iaminult,1,1,2,0.0,0.3335876166820526,0.2764809727668762,10.78995418548584,2021-12-21 00:00:00,2021-12-22 00:00:00
kamainfm,kamainfm,1,1,2,0.0,0.976616382598877,0.3454856872558594,4.774590969085693,2021-12-21 00:00:00,2021-12-22 00:00:00
pachinko71,pachinko71,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
seeeker532,seeeker532,1,1,2,0.0,0.8156208395957947,0.26946350932121277,6.816346645355225,2021-12-21 00:00:00,2021-12-22 00:00:00
alaya47456407,alaya47456407,8,8,16,0.0,0.7810714840888977,0.260381817817688,8.22248649597168,2021-12-21 00:00:00,2021-12-22 00:00:00
boulos37775798,boulos37775798,1,1,2,0.0,0.2741371691226959,0.3343929052352905,5.387816905975342,2021-12-21 00:00:00,2021-12-22 00:00:00
dwainwidgilbert,dwainwidgilbert,1,1,2,0.0,0.22098220884799957,0.17710736393928528,5.151118755340576,2021-12-21 00:00:00,2021-12-22 00:00:00
empresselfiie,empresselfiie,1,1,2,0.0,0.7073975205421448,0.10968809574842453,4.527144908905029,2021-12-21 00:00:00,2021-12-22 00:00:00
gobblemeup_,gobblemeup_,2,2,4,0.0,0.7519017159938812,0.19987434148788452,5.293105840682983,2021-12-21 00:00:00,2021-12-22 00:00:00
ravshalomarush,goldsmitheli,1,0,1,1.0,0.6915828585624695,0.22686265408992767,6.3197922706604,2021-12-21 00:00:00,2021-12-22 00:00:00
jyunna25251,jyunna25251,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
freakdadddy13,lesi_lez,1,0,1,1.0,0.6326679587364197,0.14781726896762848,5.111282825469971,2021-12-21 00:00:00,2021-12-22 00:00:00
agave_baby,nataliexmuffin,0,1,1,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
_run1000,_run1000,1,1,2,0.0,0.1452847719192505,0.2932424247264862,5.9151291847229,2021-12-21 00:00:00,2021-12-22 00:00:00
bitransitivx,bitransitivx,1,1,2,0.0,0.08008773624897003,0.27400848269462585,8.685710906982422,2021-12-21 00:00:00,2021-12-22 00:00:00
daany100,daany100,1,1,2,0.0,0.696569561958313,0.22000561654567719,4.67354154586792,2021-12-21 00:00:00,2021-12-22 00:00:00
empressverarae,gobl1nqueen,1,0,1,1.0,0.9823268055915833,0.2091071456670761,5.2786970138549805,2021-12-21 00:00:00,2021-12-22 00:00:00
greatalexandru,greatalexandru,3,3,6,0.0,0.8646335601806641,0.24582591652870178,5.454001744588216,2021-12-21 00:00:00,2021-12-22 00:00:00
