id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
gregauman,0,0,Greg Auman,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hyggemrk,50,3087,928,7,0,SOL,122,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
karolbebecita1,6794,19071,Karol ❀🍒,12095,2,SOL,21734,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
leiaswedishboff,168,652,LEIA 🇸🇪 Shiba Inu Princess 🤍,770,0,SHIB,363,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lobimaru_iv,0,0,真･ロビまる,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mdrafiq45515980,0,0,Md Rafiquzzaman,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
richmandotse,0,0,richmandotse,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
samuelvanunu17,957,2942,Samuel Vanunuuu,47,0,SHIB,4114,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
_mrchan,0,0,marcelo too well🧣,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
_trevink,245,1214,Trevi ⚡,471,10,SOL,49809,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
abreu7b,467,28433,Cadelinha da Tay,372,0,SOL,4511,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ahmadja58338257,0,0,Ahmad Jayadi,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
blizzard067,0,0,"BlizzardForce(🐶 , 🐶)",0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
cemkucuk55,0,0,Cem Küçük,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
crypto_expert14,0,0,Crypto Expert,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
eo2076,0,0,Emmanuel Olaiya🇬🇧🇳🇬®️©️,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
fedealonso99,361,3958,Fede,231,1,SOL,4131,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
kripto88056225,61,67,Kripto,2,0,SHIB,88,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
leotuitaa,0,0,Léo,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lovia633,0,0,Agu Love,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lucthemac,0,0,LUC ¹⁹⁰² ᶠᶠᶜ 🇭🇺,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mst__________,0,0,enyone,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
orangesjm,0,0,ؘ,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
urruzoladide,16066,125510,❤Izaskun💛SyR💜,19354,125,SOL,133698,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
zaue_dd,0,0,Ｄｕｓｓ🍒,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
zeynepz34660667,2324,897,Zeynep Özer,1906,1,SOL,36127,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
angiole03842000,1069,139442,Angioletto,1248,2,SOL,76788,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
crandallsports,0,0,Pirate Nation,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
europarl_es,0,0,Parlamento Europeo en España,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
gaby_filhadoxer,123,7520,gaby_yy シ︎,29,1,SOL,642,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
giovanna7514,0,0,Giovanna75,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
johnstam13,0,0,John Stam,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
la_nana_bianca,0,0,❤ Cri Cri Cuore Coraggioso ❤,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
leggerzkeggerz,0,0,LeggerzKeggerz ⚧🏳️‍🌈,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lucferrarirossa,726,29942,Luc,272,1,SOL,14247,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
