date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-11-28,ozziedarkforest,heroconcerned,C6,0,1,1,-1.0,,,,1,C6,True,0,1
2021-11-07,joelcrypto11,thewolfofhodl,C7,1,0,1,1.0,0.4514982104301452,0.2353183925151825,5.148337364196777,3,C7,True,0,3
2021-12-21,astrodudamaral,venusmais,C5,1,0,1,1.0,0.0350238718092441,0.2663281559944153,9.324884414672852,2,C3,False,1,1
2021-11-29,steveurkeldude,ce0_7,C0,0,1,1,-1.0,,,,4,C0,True,2,2
2021-12-26,medjonft,sonnyblck13,C7,1,0,1,1.0,0.54478520154953,0.1705382466316223,7.514320850372314,26,C7,True,1,25
2021-12-05,zob1138,jamal973,C7,1,0,1,1.0,0.1069488525390625,0.1894841939210891,9.500232696533203,8,C7,True,4,4
2021-12-20,akito_btc,ilikesatie,C7,0,1,1,-1.0,,,,275,C7,True,1,274
2021-11-07,invest_asnwer,invest_answers,C2,4,0,4,1.0,,,,2,C2,True,1,1
2021-12-05,airdropdet,habiburhabibu13,C7,0,1,1,-1.0,,,,14,C7,True,0,14
2021-12-26,gauravk70215045,luckybogapes,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-12-21,mei2732,mycrazygoat,C2,1,0,1,1.0,,,,4,C2,True,2,2
2021-12-05,karimaitelhaj5,buffdogecoin,C7,1,0,1,1.0,0.6456560492515564,0.148896038532257,6.264550685882568,2,C7,True,0,2
2021-12-05,shakeyerhand,bm_saw,C7,1,0,1,1.0,0.4915457963943481,0.1903800219297409,5.290633201599121,4,C7,True,0,4
2021-12-20,shibisfuturexd,ashwsbreal,C7,1,0,1,1.0,0.4872857928276062,0.4190815091133117,5.956729888916016,3,C7,True,0,3
2021-12-26,starcominf,magicgalmedia,C8,0,1,1,-1.0,,,,1,C8,True,0,1
2021-11-07,mo0n_cakes,odinwilcox,C2,0,1,1,-1.0,,,,1,C2,True,0,1
2021-12-05,abbya917,amarelemma3,C2,1,0,1,1.0,,,,2,C2,True,0,2
2021-12-20,yarasasizbatman,ashwsbreal,C7,4,0,4,1.0,0.650346060593923,0.2506166398525238,5.120439529418945,1,C7,True,0,1
2021-12-05,hseyin01244873,altcoinmarketuk,C7,1,0,1,1.0,0.9998341798782348,0.3704298138618469,5.893553256988525,9,C7,True,0,9
2021-12-05,rajnathpasi,babydogecoin,C7,1,0,1,1.0,0.982689619064331,0.3301796019077301,4.947360515594482,1,C7,True,0,1
2021-11-28,bunnerprofessor,ravebunnies_nft,C2,1,0,1,1.0,,,,4,C7,False,2,2
